city,State,population,literacy_rate,tier,gender_ratio
Agra,UttarPradesh,2585704,9,1,853
Lucknow,UttarPradesh,3945000,8,1,915
Nizamabad,Telangana,345000,9,1,1001
Hyderabad,Telangana,2080163,9,1,954
Kota,Rajasthan,1474000,9,1,890
Ludhiana,Punjab,1618879,9,1,845
Amritsar,Punjab,1132383,8,1,879
Pune,Maharastra,1371330,9,1,904
Mumbai,Maharastra,24973000,8,1,966
Bhopal,MadhyaPradesh,2698218,8,1,911
Indore,MadhyaPradesh,3394397,8,1,921
Jammu,Jammu&Kashmir,502197,8,1,898
Raipur,Chattisgarh,1010087,9,1,945
Vijaywada,AndhraPradesh,1048240,9,1,1020
Vishakhapatnam,AndraPradesh,2035922,8,1,998
Patna,Bihar,5772804,7,2,882
Chandigarh,Chandigarh,1054686,9,2,829
Karnal,Haryana,1506323,8,2,892
Shimla,HimachalPradesh,813384,8,2,818
Srinagar,Jammu&Kashmir,1269751,7,2,888
Ranchi,Jharkhand,2912022,8,2,920
Shimoga,Karnataka,1755512,8,2,991
Gwalior,MadhyaPradesh,2030543,8,2,878
Cuttack,Odisha,2618708,8,2,997
Bhilwara,Rajasthan,2410459,6,2,915
Puduppatti,TamilNadu,1618725,8,2,1034
Jalalpur,Uttarakhand,1670718,8,2,890
Ghaziabad,UttarPradesh,4142090,8,2,832
Koch Bihar,WestBengal,2822780,8,2,963
Vizianagaram,AndhraPradesh,2342868,6,3,1039
Katihar,Bihar,3068149,5,3,897
Dhamtari,Chhattisgarh,799199,8,3,856
Jind,Haryana,1332042,7,3,877
Kathua,Jammu&Kashmir,615711,7,3,954
Deoghar,Jharkhand,1491879,7,3,876
Chitapur,Karnataka,1660378,7,3,910
Shivpuri,MadhyaPradesh,1725818,6,3,890
Bishenpur,Manipur,240363,8,3,934
Saiha,Mizoram,56366,9,3,1031
Bhadrakh,Odisha,439917,7,3,912
Fatehgarh Churian,Punjab,599814,8,3,884
Karuppur,TamilNadu,1076588,8,3,967
Sitarganj,Uttarakhand,4474446,6,3,975
Uttarkashi,UttarPradesh,329686,8,3,864
Maldah,WestBengal,3997970,6,3,895